2020-08-16 19:28:55,419, INFO, job: Board Number:1 Operator:
2020-08-16 19:28:55,423, INFO, Starting serial port
2020-08-16 19:28:59,151, INFO, Serial port configuration:
2020-08-16 19:28:59,152, INFO, port opened successfully
2020-08-16 19:28:59,152, INFO, Serial<id=0x2eb2fb8, open=True>(port='COM3', baudrate=115200, bytesize=8, parity='N', stopbits=1, timeout=50, xonxoff=False, rtscts=False, dsrdtr=False)
2020-08-16 19:28:59,653, INFO, 'MESSAGE FROM OVEN'
2020-08-16 19:28:59,653, INFO, 
2020-08-16 19:28:59,654, INFO, Selected profile 2: 4300 63SN/37PB
2020-08-16 19:29:01,741, INFO, user confirmation: y
2020-08-16 19:29:02,743, INFO, Starting reflow with profile: 4300 63SN/37PB
2020-08-16 19:29:02,744, INFO, 
2020-08-16 19:29:02,745, INFO, Starting reflow with profile: 4300 63SN/37PB
2020-08-16 19:29:02,746, INFO, bake setpoint values: 0, 32, 50
2020-08-16 19:29:02,747, INFO, 
2020-08-16 19:29:02,748, INFO, # Time,  Temp0, Temp1, Temp2, Temp3,  Set,Actual, Heat, Fan,  ColdJ, Mode
2020-08-16 19:29:06,092, INFO, 3.8,   39.2,  41.4,   0.0,   0.0,   50,  40.3,  210,   9,   27.0, REFLOW
2020-08-16 19:29:06,365, INFO, 4.0,   39.2,  41.4,   0.0,   0.0,   50,  40.3,  194,   9,   27.0, REFLOW
2020-08-16 19:29:06,615, INFO, 4.2,   39.4,  41.5,   0.0,   0.0,   50,  40.5,  145,   9,   27.0, REFLOW
2020-08-16 19:29:06,865, INFO, 4.5,   39.7,  41.4,   0.0,   0.0,   50,  40.6,  173,   9,   27.0, REFLOW
2020-08-16 19:29:07,114, INFO, 4.8,   40.1,  41.7,   0.0,   0.0,   50,  40.9,  107,   9,   27.0, REFLOW
2020-08-16 19:29:07,365, INFO, 5.0,   40.1,  41.4,   0.0,   0.0,   50,  40.7,  223,   9,   27.0, REFLOW
2020-08-16 19:29:07,619, INFO, 5.2,   39.3,  41.5,   0.0,   0.0,   50,  40.4,  255,   9,   27.0, REFLOW
2020-08-16 19:29:07,842, INFO, 5.5,   39.7,  41.6,   0.0,   0.0,   50,  40.6,  133,   9,   27.0, REFLOW
2020-08-16 19:29:08,115, INFO, 5.8,   40.0,  41.3,   0.0,   0.0,   50,  40.6,  185,   9,   27.0, REFLOW
2020-08-16 19:29:08,355, INFO, 6.0,   39.9,  41.6,   0.0,   0.0,   50,  40.7,  165,   9,   27.0, REFLOW
2020-08-16 19:29:08,595, INFO, 6.2,   39.5,  41.7,   0.0,   0.0,   50,  40.6,  221,   9,   27.0, REFLOW
2020-08-16 19:29:08,866, INFO, 6.5,   39.6,  41.7,   0.0,   0.0,   50,  40.6,  179,   9,   27.0, REFLOW
2020-08-16 19:29:09,115, INFO, 6.8,   40.1,  41.7,   0.0,   0.0,   50,  40.9,  112,   9,   27.0, REFLOW
2020-08-16 19:29:09,355, INFO, 7.0,   40.2,  41.8,   0.0,   0.0,   50,  41.0,  166,   9,   27.0, REFLOW
2020-08-16 19:29:09,609, INFO, 7.2,   39.4,  41.6,   0.0,   0.0,   50,  40.5,  255,   9,   27.0, REFLOW
2020-08-16 19:29:09,864, INFO, 7.5,   39.5,  41.6,   0.0,   0.0,   50,  40.5,  182,   9,   27.0, REFLOW
2020-08-16 19:29:10,114, INFO, 7.8,   40.1,  41.8,   0.0,   0.0,   50,  41.0,   74,   9,   27.0, REFLOW
